word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
contratación,es,hiring,雇用,/kontɾataˈθjon/,ombɶɶbom
tripulación,es,crew,クルー,/tɾipulaˈθjon/,byuɶbom
afiliación,es,membership,メンバーシップ,/afiljaˈθjon/,ɶybɶbom
información,es,information,情報,/imfoɾmaˈθjon/,ymoɶbom
navegación,es,navigation,ナビゲーション,/naβeɣaˈθjon/,ɶøɶbom
レクリエーション,ja,Recreation,レクリエーション,/ɾekɯɾieːɕoɴ/,øuyøom
aparición,es,appearance,外観,/apaɾiˈθjon/,ɶɶybom
apelación,es,appeal,訴える,/apelaˈθjon/,ɶøɶbom
Generation,de,generation,世代,/ˌɡeːnəʁaˈt͡si̯oːn/,øəɶbyom
アニメーション,ja,animation,アニメーション,/animeːɕoɴ/,ɶyøom
dedicación,es,dedication,献身,/deðikaˈθjon/,øyɶbom
rakkaudeton,fi,loveless,愛のない,/ˈrɑkkɑuˌdeton/,ɑbɑuøom
천의무봉,ko,Cheonui Mubong,Chonui Mubong,/t͡ɕʰʌ̹nɰimubo̞ŋ/,bbɔmyuom
aateliton,fi,commoner,平民,/ˈɑɑteˌliton/,ɑɑøyom
자소작농,ko,Self -confidence,自己自信,/t͡ɕa̠sʰo̞d͡ʑa̠ŋno̞ŋ/,bɶbobɶmom
vastukseton,fi,indistency,dist延しています,/ˈvɑstukˌseton/,ɑbubøom
advocación,es,invocation,呼び出し,/aðβokaˈθjon/,ɶboɶbom
hồng nhan đa truân,vi,Hong Nhan Da Tru,Hong Nhan Da Tru,/hoŋ͡m˦˨ ɲaŋ˧˥ da˧˥ ʈwɤ̆ŋ˧˥/,ommɶmɶom
가사 노동,ko,Lyrics,歌詞,/ka̠sʰa̠ no̞do̞ŋ/,ɶbɶoom
anh hùng cá nhân,vi,Personal Hero,個人的なヒーロー,/an˧˥ huŋ͡m˦˨ ka˩˧ ɲɤ̆ŋ˧˥/,ɶmummɶom
anchilostom,ro,hookworms,フックワーム,/ankʲ̩ilostom/,ɶmyyobom
省油的灯,zh-cn,Fuel -saving lamp,燃料 - 救いランプ,/ʂɤŋ˨˩˦ joʊ˧˥ tɤ˧ tɤŋ˥˥/,omoʊoom
